代码,名称,最新收盘,5日涨幅(%),30日涨幅(%),年初至今(%),20日最高,20日最低,距高点回撤(%),年化波动率(%),量比(5/20)
600989.SH,宝丰能源,30.1,-6.26,26.74,54.36,36.49,25.23,-17.51,77.42,0.67
002648.SZ,卫星化学,27.78,8.22,20.1,56.42,30.0,23.18,-7.4,66.27,0.77
601898.SH,中煤能源,17.88,-3.19,19.28,43.04,19.77,15.62,-9.56,68.4,0.78
600938.SH,中国海油,41.07,-2.45,10.34,41.43,44.54,37.9,-7.79,67.33,0.61
601857.SH,中国石油,12.07,-2.19,8.84,19.86,13.69,11.33,-11.83,66.94,0.62
601011.SH,宝泰隆,3.74,7.16,2.75,14.37,4.11,3.33,-9.0,50.88,0.91
600426.SH,华鲁恒升,36.31,0.95,-0.9,15.97,44.1,33.96,-17.66,53.63,0.72
601808.SH,中海油服,16.54,1.29,-4.83,16.97,21.85,15.87,-24.3,66.34,0.48
600309.SH,万华化学,79.98,6.63,-8.33,3.43,97.0,73.36,-17.55,41.92,0.79
600583.SH,海油工程,6.72,4.35,-10.04,20.86,8.72,6.33,-22.94,64.82,0.53
000830.SZ,鲁西化工,16.19,5.06,-10.06,-1.22,21.8,14.86,-25.73,73.5,0.89
600346.SH,恒力石化,21.36,5.38,-15.87,-2.95,27.0,19.81,-20.89,67.6,0.68
002493.SZ,荣盛石化,12.1,7.17,-19.12,4.58,16.38,10.95,-26.13,61.35,0.84
