ts_code,月初开盘,月末收盘,月涨跌幅(%),月内最高,月内最低,振幅(%),上涨天数,下跌天数,平盘天数,日均成交额(亿),总成交额(亿),交易天数
600989.SH,26.31,30.1,14.41,36.49,25.23,42.8,11,9,0,0.07,1.32,20
601898.SH,16.0,17.88,11.75,19.77,15.62,25.94,10,10,0,0.01,0.28,20
002490.SZ,9.68,10.09,4.24,14.52,9.5,51.86,12,8,0,0.01,0.25,20
601857.SH,11.8,12.07,2.29,13.69,11.33,20.0,11,9,0,0.06,1.2,20
002267.SZ,8.1,8.07,-0.37,9.14,7.69,17.9,10,10,0,0.0,0.05,20
002221.SZ,8.95,8.89,-0.67,10.14,8.42,19.22,7,13,0,0.01,0.12,20
600546.SH,11.96,11.82,-1.17,12.89,11.33,13.04,9,11,0,0.01,0.12,20
601001.SH,17.38,16.72,-3.8,19.13,16.25,16.57,10,10,0,0.01,0.12,20
000698.SZ,4.12,3.92,-4.85,4.29,3.65,15.53,9,8,3,0.0,0.01,20
600232.SH,8.49,7.92,-6.71,8.78,7.12,19.55,8,12,0,0.0,0.02,20
600968.SH,4.99,4.65,-6.81,5.8,4.38,28.46,10,8,2,0.01,0.17,20
002629.SZ,7.1,6.54,-7.89,8.11,5.91,30.99,10,10,0,0.0,0.06,20
600759.SH,6.83,6.17,-9.66,9.09,5.85,47.44,10,10,0,0.05,0.98,20
601808.SH,18.56,16.54,-10.88,21.85,15.87,32.22,10,10,0,0.01,0.24,20
600688.SH,3.35,2.98,-11.04,3.89,2.8,32.54,10,10,0,0.01,0.12,20
600339.SH,4.66,4.12,-11.59,5.54,3.89,35.41,11,7,2,0.01,0.17,20
603619.SH,39.99,35.22,-11.93,48.18,33.51,36.68,10,10,0,0.02,0.37,20
000096.SZ,11.7,10.28,-12.14,13.27,9.85,29.23,9,11,0,0.0,0.06,20
000059.SZ,6.3,5.52,-12.38,6.9,5.16,27.62,8,12,0,0.0,0.07,20
600028.SH,6.8,5.9,-13.24,8.11,5.79,34.12,5,14,1,0.04,0.76,20
600583.SH,7.76,6.72,-13.4,8.72,6.33,30.8,6,13,1,0.01,0.25,20
600871.SH,3.53,2.98,-15.58,4.42,2.8,45.89,9,10,1,0.01,0.29,20
002476.SZ,6.9,5.81,-15.8,7.26,5.42,26.67,7,13,0,0.0,0.03,20
002778.SZ,23.09,19.43,-15.85,23.45,18.08,23.26,7,13,0,0.0,0.01,20
002554.SZ,4.51,3.75,-16.85,5.13,3.45,37.25,6,14,0,0.0,0.1,20
600346.SH,26.65,21.36,-19.85,27.0,19.81,26.98,8,12,0,0.01,0.27,20
002278.SZ,14.63,11.72,-19.89,16.5,10.94,38.0,6,14,0,0.01,0.11,20
002207.SZ,12.42,9.86,-20.61,16.01,9.38,53.38,8,12,0,0.01,0.12,20
002493.SZ,16.19,12.1,-25.26,16.38,10.95,33.54,6,14,0,0.01,0.23,20
