date,open,high,low,close,volume
2025-03-27,2.88,2.95,2.85,2.88,708138
2025-03-28,2.85,2.91,2.83,2.83,565073
2025-03-31,2.81,2.88,2.68,2.87,1179125
2025-04-01,2.87,2.89,2.81,2.85,560525
2025-04-02,2.83,2.89,2.82,2.84,450987
2025-04-03,2.81,2.88,2.8,2.83,432354
2025-04-07,2.59,2.69,2.55,2.55,609087
2025-04-08,2.4,2.54,2.32,2.4,1179017
2025-04-09,2.32,2.49,2.17,2.47,1139657
2025-04-10,2.53,2.56,2.47,2.49,906755
2025-04-11,2.48,2.56,2.43,2.52,609571
2025-04-14,2.56,2.65,2.55,2.6,784113
2025-04-15,2.6,2.64,2.55,2.58,423412
2025-04-16,2.57,2.57,2.46,2.5,522461
2025-04-17,2.46,2.53,2.46,2.48,333788
2025-04-18,2.48,2.56,2.46,2.55,531189
2025-04-21,2.53,2.61,2.51,2.6,498705
2025-04-22,2.58,2.59,2.52,2.54,442310
2025-04-23,2.56,2.6,2.54,2.58,399287
2025-04-24,2.58,2.6,2.5,2.51,381144
2025-04-25,2.5,2.59,2.48,2.54,399749
2025-04-28,2.57,2.78,2.54,2.61,978192
2025-04-29,2.58,2.63,2.54,2.58,507837
2025-04-30,2.59,2.62,2.57,2.57,514587
2025-05-06,2.6,2.73,2.6,2.71,950976
2025-05-07,2.77,2.79,2.64,2.69,797835
2025-05-08,2.68,2.72,2.66,2.7,525481
2025-05-09,2.7,2.7,2.61,2.61,550265
2025-05-12,2.63,2.64,2.6,2.63,387514
2025-05-13,2.67,2.72,2.63,2.64,640795
2025-05-14,2.63,2.67,2.61,2.64,468614
2025-05-15,2.63,2.63,2.55,2.55,516888
2025-05-16,2.55,2.57,2.54,2.55,292195
2025-05-19,2.55,2.6,2.52,2.59,449062
2025-05-20,2.58,2.64,2.57,2.61,432645
2025-05-21,2.6,2.61,2.54,2.55,405731
2025-05-22,2.53,2.56,2.48,2.48,470597
