序号,代码,名称,现价,涨跌幅(%),涨跌额,成交量(手),成交额(亿),换手率(%),最高,最低,今开,昨收,涨跌状态
1,002675,东诚药业,14.48,10.03,1.32,143371,2.08,0.0,14.48,14.48,14.48,13.16,涨停
2,603538,美诺华,43.1,10.01,3.92,89063,3.84,1.79,43.1,42.4,43.1,39.18,涨停
3,600513,联环药业,28.17,10.0,2.56,322463,8.94,7.81,28.17,26.17,26.37,25.61,涨停
4,002038,双鹭药业,7.27,9.98,0.66,1616881,11.68,4.08,7.27,7.0,7.0,6.61,涨停
5,002370,亚太药业,7.18,9.95,0.65,781042,5.49,11.94,7.18,6.4,6.44,6.53,涨停
6,600488,津药药业,4.76,9.93,0.43,699067,3.27,9.93,4.76,4.33,4.33,4.33,涨停
7,688428,诺诚健华,27.09,7.08,1.79,243307,6.52,11.86,27.88,24.88,25.0,25.3,大涨
8,301246,宏源药业,24.34,5.78,1.33,364307,8.75,7.74,24.81,23.03,23.03,23.01,大涨
9,002082,万邦德,27.45,5.41,1.41,658072,18.27,9.06,28.64,26.28,26.82,26.04,大涨
10,000908,ST景峰,8.16,5.02,0.39,179985,1.46,2.96,8.16,7.93,7.99,7.77,大涨
11,600216,浙江医药,16.6,4.4,0.7,571285,9.45,6.1,16.87,15.9,15.94,15.9,上涨
12,300254,仟源医药,11.67,4.29,0.48,175037,2.01,5.99,11.74,11.07,11.11,11.19,上涨
13,920656,海昇药业,15.68,4.19,0.63,13163,0.2,8.97,15.98,14.63,14.9,15.05,上涨
14,300016,北陆药业,10.22,3.97,0.39,480659,4.89,8.04,10.6,9.81,9.88,9.83,上涨
15,300204,舒泰神,28.77,3.64,1.01,868126,25.24,7.13,30.19,28.21,28.45,27.76,上涨
16,002437,誉衡药业,3.49,3.56,0.12,1478221,5.09,5.04,3.5,3.33,3.35,3.37,上涨
17,600420,国药现代,10.7,3.28,0.34,187302,1.98,4.05,10.72,10.3,10.3,10.36,上涨
